division,level,tournament,date,team1rough,team1_goals,team1_spirit,team2rough,team2_goals,team2_spirit,team1full,team2full,team1_strength,team2_strength,team1_goal_diff,team2_goal_diff,year,team1full_AUC_placing,team2full_AUC_placing,team1_division,team2_division,team1_ELO_before,team2_ELO_before,team1_ELO_after,team2_ELO_after,team1form_10,team2form_10,team1_H2H_win_rate,team2_H2H_win_rate
Opens,National,SRC2017,2017-02-25,Hot Chilly,15,13,Quoll,3,12,Hot Chilly AUC2017,Quoll AUC2017,,,12,-12,2017,6.0,,Division 1,Division 2,1520.1360498274623,1199.4451115138102,1545.4171725111712,1174.1639888301013,0.6666666666666666,0.3333333333333333,0.0,0.0
Opens,National,SRC2017,2017-02-25,Adelaide Outbreak Apocalypse,2,11,Melbourne Juggernaut,15,10,Adelaide Outbreak Apocalypse AUC2017,Melbourne Juggernaut AUC2017,,F,-13,13,2017,,9.0,Division 2,Division 1,1167.023661354577,1574.6369355551014,1141.265170895447,1600.3954260142314,0.3333333333333333,1.0,0.0,0.0
Opens,National,EUC2017,2017-02-26,Bench Ultimate B,13,10,Nomads,3,11,Brunch Cooked AUC2017,Nomads AUC2017,,,10,-10,2017,,,Division 2,Division 2,1212.61292425867,1079.828299428122,1239.1907783633856,1053.250445323407,0.5714285714285714,0.0,0.0,0.0
Opens,National,EUC2017,2017-02-26,Fyshwick Unit,12,10,Manly Ultimate,7,10,Fyshwick Unit AUC2017,Manly MUGs AUC2017,,M,5,-5,2017,,21.0,Division 2,Division 2,1163.9264329737557,1181.8848646156289,1187.123607240144,1163.327125202518,0.3333333333333333,0.3333333333333333,0.0,0.0
Opens,National,EUC2017,2017-02-26,Combine - IWU & DUFF,5,10,Ironbark A,12,10,Combine Thresh - IWU & DUFF AUC2017,Ironbark AUC2017,,,-7,7,2017,,,Division 2,Division 2,1151.1584070174806,1118.2594456617962,1123.783887901071,1145.6339647782058,0.3,0.14285714285714285,0.0,0.0
Opens,National,EUC2017,2017-02-26,Colony Pillage,12,10,Bench Ultimate,6,11,Colony Pillage AUC2017,Brunch Smashed AUC2017,F,F,6,-6,2017,1.0,5.0,Division 1,Division 1,1583.6087649425956,1548.664649830136,1606.555532021333,1525.7178827513983,1.0,0.8,1.0,0.0
Opens,National,EUC2017,2017-02-26,Fyshwick University,8,11,The Rum Corps,13,10,Fyshwick University AUC2017,The Rum Corps AUC2017,,,-5,5,2017,,,Division 2,Division 2,1192.5817936546862,1195.0044086741343,1170.175925557362,1217.4102767714587,0.5,0.3333333333333333,0.0,0.0
Opens,National,EUC2017,2017-02-26,Colony Plunder,10,10,Fyshwick United,11,?,Colony Plunder AUC2017,Fyshwick United AUC2017,F,,-1,1,2017,7.0,12.0,Division 1,Division 1,1628.6198349931728,1574.0424016986465,1611.216440348553,1591.4457963432662,1.0,0.8333333333333334,1.0,0.0
Opens,National,EUC2017,2017-02-26,Combine - IWU & DUFF,6,10,Newcastle I-Beam,13,11,Combine - IWU & DUFF AUC2017,Newcastle I-Beam AUC2017,,M,-7,7,2017,,3.0,Division 2,Division 1,1123.783887901071,1506.5013105072358,1108.4981282282504,1518.7299182454924,0.3,0.5,0.0,1.0
Opens,National,EUC2017,2017-02-26,Bench Ultimate B,6,10,Manly Ultimate,9,11,Brunch Cooked AUC2017,Manly MUGs AUC2017,,M,-3,3,2017,,21.0,Division 2,Division 2,1239.1907783633856,1163.327125202518,1217.3889823380086,1180.7685620228194,0.625,0.25,0.0,0.0
Opens,National,EUC2017,2017-02-26,Fyshwick Unit,13,10,Combine - IWU & DUFF,6,12,Fyshwick Unit AUC2017,Combine Thresh - IWU & DUFF AUC2017,,,7,-7,2017,,,Division 2,Division 2,1187.123607240144,1108.4981282282504,1210.2196322861396,1085.402103182255,0.42857142857142855,0.2,0.0,1.0
Opens,National,EUC2017,2017-02-26,Nomads,5,11,Ironbark A,12,12,Nomads AUC2017,Ironbark AUC2017,,,-7,7,2017,,,Division 2,Division 2,1053.250445323407,1145.6339647782058,1030.6578362748332,1168.2265738267793,0.0,0.25,0.0,0.0
Opens,National,EUC2017,2017-02-26,Colony Pillage,10,?,Colony Plunder,9,10,Colony Pillage AUC2017,Colony Plunder AUC2017,F,F,1,-1,2017,1.0,7.0,Division 1,Division 1,1606.555532021333,1611.216440348553,1622.0366259871512,1595.7353463827349,1.0,0.875,0.0,0.0
Opens,National,EUC2017,2017-02-26,Fyshwick United,11,9,Bench Ultimate,10,10,Fyshwick United AUC2017,Brunch Smashed AUC2017,,F,1,-1,2017,12.0,5.0,Division 1,Division 1,1591.4457963432662,1525.7178827513983,1604.2219021466544,1512.9417769480103,0.8571428571428571,0.6666666666666666,0.0,0.0
Opens,National,EUC2017,2017-02-26,The Rum Corps,12,10,Combine - IWU & DUFF,13,10,The Rum Corps AUC2017,Combine - IWU & DUFF AUC2017,,,-1,1,2017,,,Division 2,Division 2,1217.4102767714587,1085.402103182255,1197.214311397251,1105.5980685564623,0.42857142857142855,0.2,0.0,0.0
Opens,National,EUC2017,2017-02-26,Newcastle I-Beam,12,12,Fyshwick University,10,10,Newcastle I-Beam AUC2017,Fyshwick University AUC2017,M,,2,-2,2017,3.0,,Division 1,Division 2,1518.7299182454924,1170.175925557362,1524.1701364698906,1163.3756527768642,0.5714285714285714,0.4,0.0,0.0
Opens,National,EUC2017,2017-02-26,Bench Ultimate B,9,10,Fyshwick Unit,10,10,Brunch Cooked AUC2017,Fyshwick Unit AUC2017,,,-1,1,2017,,,Division 2,Division 2,1217.3889823380086,1210.2196322861396,1201.8104487199448,1225.7981659042034,0.5555555555555556,0.5,0.0,0.0
